,caption
30,"masterpiece, high score, great score, absurdres, 1girl, whale, scenery, car, outdoors, building, city, skirt, school uniform, solo, motor vehicle, sky, short hair, flying fish, serafuku, standing, from behind, pleated skirt, black skirt, surreal, long sleeves, facing away, outstretched arm, sailor collar, cityscape, skyscraper, reaching, wide shot, socks, blue sky, cloud, animal, oversized animal, black shirt, fish, shirt, kneehighs, black socks, depth of field, chromatic aberration, glitch, faux traditional media, cold colors, photo background, faux traditional media, abstract, fog, oil painting, painterly, impressionism, snow and warm contrast"
31,"(masterpiece: 1.2), (best quality: 1.2), very aesthetic, 4k, (InkPunk: 1.2), dynamic pose,(red tones: 1.4), vivid color, deep colors,dramatic lighting, intricate details, thick contours, volumetric shadows, Expressiveh,1 girl, solo, 1 girl, solo,angel girl,angel wings,huge wings,silver eyes,blonde hair,very long hair,lotus tattoo,forehead tattoo,halo, (rage: 1.4), calling, red negligee, Holding a sword, dual wielding,fighting stance, upper body, (splashing: 1.4), motherland mother,white background,"
32,"masterpiece, high score, great score, absurdres, blonde hair, purple eyes, , 1girl, solo, evelyn chevalier, braided bun, hair up, black hair ribbon, earpiece, thigh holster, high-waist tight pants, black gloves, collared sleeveless shirt, chest harness, arm strap, single gauntlet, yellow necktie, pendant choker, cowboy shot, bedroom, sitting on bed, bedroom, finger to mouth, head tilt, parted lips, looking at viewer, blush, depth of field"
33,"safe_pos, 1girl, tohsaka rin, fate \(series\), fate/stay night, black hair, black skirt, blue eyes, breasts, building, coat, from side, full moon, looking at viewer, medium breasts, moon, night, night sky, reaching, reaching towards viewer, red coat, skirt, sky, skyscraper, solo, star \(sky\), starry sky, two side up, upper body, masterpiece, high score, great score, absurdres"
34,"masterpiece, best quality, high score, great score, absurdres, score_9, score_8_up, score_7_up, detailed, 1girl, solo, intricate details, chromatic aberration, realistic, long hair, pink hair, red head ornament, pink highlights, hair over one eye, purple eyes, earrings, sharp eyes, choker, neon shirt, torn legwear, open jacket, turtleneck sweater, night,against wall, brick wall, graffiti, dim lighting, alley, looking at viewer"
35,"masterpiece, best quality, great score, highres, intricate details, 4k, stunning, absurdres, 1 girl, Ganyu, horns, solo, closeup, black negligee, long hair, looking at viewer, lying, from side, cute, blush, shy smile, pillow, erotic,"
36,"masterpiece, high score, great score, absurdres, takamatsu tomori and penguin, animal, looking at viewer, snow, a penguin that has girl face, weapon on back,"
37,"masterpiece, best quality, great score, highres, intricate details, 4k, stunning, absurdres, 1 girl, Ganyu, horns, solo, closeup, black negligee, long hair, looking at viewer, lying, from side, cute, blush, shy smile, pillow, erotic,"
38,"masterpiece, best quality, great score, highres, intricate details, 4k, stunning, absurdres, 1 woman, Ganyu, long hair flutters in the wind, looking at viewer, looking behind, adjusting hair, tucking hair behind ear, blush, parted lips, fantasy background, magical, windy, beautiful landscape, upperbody"
39,"masterpiece, high score, great score, absurdres,yoneyama mai, diyokama, fuzichoco, flat color, no lineart, blending, negative space,1girl, solo, cyan hair, twintails, hatsune miku, black sclera, slit pupils, smug, open mouth, unbuttoned, pajamas, oversized shirt, white shirt, sleeves past wrists, sitting, wariza, shelf, book, uno \(game\), blue light, window"
40,"masterpiece, best quality, great score, highres, intricate details, 4k, stunning, absurdres, 1 woman, Ganyu, maid clothes, Victorian style, full sleeves, long apron, maid mob cap, sitting on bed, cute wariza, looking up, looking at viewer, cute smile, closed mouth, tender, blush, gothic Victorian room"
41,"safe_pos, 1girl, Asuka Souryuu Langley, Neon Genesis Evangelion, solo, orange hair, fisheye lens, depth of field, long hair, red body suit, kneeling, huge blood pool, endless flower field, blood trail, detailed eyes, from above, blood swirl effect, special effect, head tilt,blue eyes, looking at viewer, very aesthetic, intricate eyes, focused, despairing shock, blood running from eyes, small breasts, ripped clothes, close up, destroyed body suit, night, destruction, outside, beautiful female, detailed, cinematic, dynamic shot, mature woman, masterpiece, high score, great score, absurdres"
42,"safe_pos, masterpiece,best quality,newest,absurdres,highres,upper body,dutch angle, 1girl, beautiful face, detailed eyes,slim body,mature female,black hair,blunt bang,long hair, straight hair,red eyes,looking at viewer,head tilt,parted lips,blush,light smile,large breasts,serafuku,red neckerchief,shirts overhang,adjusting hair,sunset,sakura tree, petals,"
43,"masterpiece, high score, great score, absurdres,A giant cat is naturally blending into the crowds of the city."
44,"masterpiece, best quality, great score, highres, intricate details, 4k, stunning, absurdres, 1 woman, Ganyu, maid clothes, Victorian style, full sleeves, long apron, maid mob cap, sitting on bed, cute wariza, looking up, looking at viewer, cute smile, closed mouth, tender, blush, gothic Victorian room"
45,"long messy magenta hair, messy hair, long hair, dark magenta hair, hair between eyes, pastel pink eyes,masterpiece, best quality, amazing quality, absurdres, very aesthetic, intricate details, extreme detail, detailed eyes,1 girl, solo, face focus, close-up, looking at viewer, smug, dark room, extreme close-up, shadows, darkness, shiny eyes, completely dark room,w4sh1ya0, by washiya0"
46,"safe_pos, akane \(blue archive\),halo,large breasts, masterpiece, high score, great score, absurdres, 1girl, halo, solo, glasses, skirt, bow, smile, black skirt, school uniform, long hair, cardigan, looking at viewer, light brown hair, bowtie, black-framed eyewear, pleated skirt, bag, blue bow, hair between eyes, long sleeves, aqua bow, brown eyes, collared shirt, blue bowtie, school bag, train interior, shirt, blush, aqua bowtie, closed mouth, hand grip, yellow cardigan, white shirt, bus, breasts, black bag, shoulder bag, scrunchie, holding, brown hair, cowboy shot, large breasts, motor vehicle, photo background, spot colors, dutch angle, chromatic aberration, faux traditional media, painterly, cold color, impressionism"
47,"masterpiece, high score, great score, absurdres, , 1girl,solo,  , sitting on chair, Food on table, Chinese food, several mugs, blush,Multiple dishes, toasting, Multiple dishes, toasts, orange juice, having juice, (smile,happy), Fern (Sousou no Frieren),(sloppy body, saggy boobs:0.8),masterpiece, high score, great score, absurdres, reflection, , motion blur, depth of field, faux traditional media,"
48,"masterpiece, best quality, great score, highres, intricate details, 4k, stunning, absurdres very cute, cute details, 1girl, solo, Ganyu, horns, black cat costume, cat paws, blush, open mouth, annoyed, forced pose, cat pose, wariza sitting, closeup, from above, looking at viewer, bedroom, cute room, stuffed toys"
49,"masterpiece, high score, great score, absurdres, reflection, , motion blur, depth of field, faux traditional media,1girl,, Fork and knife, , eating, meat \(food\), food, holding, holding fork, , meal, , onigiri, plate, Multiple beef, Ice water,cheval_grand(umamusume),horse girl,green hoodie,"
50,"1girl, realface, flying, sky, sunset,"
51,"masterpiece, high score, great score, absurdres, 1girl, indoors, looking at viewer, tohru \(maidragon\), kobayashi-san chi no maidragon, 1girl, maid, maid headdress, maid, dragon horns, dragon tail, large tail, fang, orange eyes, hair between eyes, red eyes, slit pupils, blonde hair, long hair, orange hair, gradient hair, very long hair, twintails, large breasts, white gloves, elbow gloves, puffy short sleeves, dragon girl, cowboy shot,"
52,"dutch angle,1boy, standing, dark hair, mask, tactical vest, futuristic armor,battlefield, desert,masterpiece, best quality, high score, great score, good score, absurdres"
53,"masterpiece, high score, great score, absurdres,yoneyama mai, 1girl, souryuu asuka langley, neon genesis evangelion, rebuild of evangelion, solo, detailed beautiful face and eyes, crimson eyes, lips, red hair, loose braid, sitting, indoors, café, reading book, window seat, coffee cup, pastry, warm sunlight, wooden furniture, peaceful atmosphere, Striped linen blouse with a boxy silhouette and wide sleeves, designed by Sander Lak for Sies Marjan, stylish outfit, Natural Movements, from behind, looking back, (from above:0.4), (dutch angle:0), mid-range shot, body emphasis, tight framing, ruffled clothing, looking away, High-Definition Anime Character Detailing, Polished Anime Illustration, Japanese Artistic Style with Enhanced Clarity, Anime Ultra HD, Anime Style with Realistic Textures, Crisp Anime Lines, Vivid Anime Colors, Rich Color Palette in Anime, Smooth Shading in Anime Style, Anime with Depth of Field Effect, high contrast, Professional fashion editorial feel, ethereal, highly detailed, ultra detailed, insanely detailed, fine texture, crisp detail, crisp edges,"
54,"masterpiece, best aesthetic, best quality,smile, happy, v,japanese kimono,  Aim for entries as eye-popping as a bowl of your favorite morning treat."
55,"(masterpiece, best quality:1.2), amazing quality, very aesthetic, absurdres, perfect detail,stone floor, blue sky, portrait, from below sitting, indian style, eating ramen, holding donburi, holding chopsticks, expressionless, closed eyes, solo, jigita, red hair, short hair, hairclip, white dougi, brown sash, collarbone, short sleeves,"
56,"masterpiece, high score, great score, absurdres, safe, dramatic lighting, 1girl, ,"
57,"Masterpiece, cute smiling boy Kagamine Len, normal build, yellow hair, location: winter in Japan, playing with snowmen, looking straight at the camera"
58,"masterpiece, best quality, great score, highres, intricate details, 4k, stunning, absurdres, 1 woman, Ganyu, long hair, yellow kimono, floral pattern, dramatic scene, wind blowing, hair flowing through hair, sakura petals, beautiful scene, blush, shy smile, sitting, hugging own legs, head resting on knees, headtilt, looking at viewer, from side, dutch angel, closeup, plain background"
59,"1girl, yellow raincoat, solo, holding red balloon, cyan wall, pink sky, cinematic still from Wes Anderson movie, masterpiece, high score, great score, absurdres"
60,"masterpiece, best quality, high score, great score, absurdres, highres, absurdres, ultra-detailed, incredibly detailed, extremely detailed CG unity 8k wallpaper, UHD, 4K, 8K, highest detailed, ultra sharp focus, hyperdetailed, ultra crisp edges, high fidelity, high resolution, stunning, 1girl, souryuu asuka langley, neon genesis evangelion, rebuild of evangelion, detailed beautiful face, perfect face, expressive eyes, detailed beautiful eyes, lips, gorgeous lips, parted lips, artistic facial structure, looking at viewer, fashion pose, wind, floating hair, off shoulder, bare shoulder, dress, fashion editorial close-up shot, high fashion illustration, Professional fashion illustration, Vogue-style portrait,soft yet defined contours, ultra refined linework, minimalistic elegance, airy composition, negative space, ethereal lighting, delicate shading, flat color, clean color, cel shading, high-fashion photography, artistic editorial aesthetic, soft matte textures, subtle gradients, refined expression, crisp yet delicate lines, year 2025, faux traditional media, fine texture, crisp detail, crisp edges, lifelike, depth of field, bokeh,"
61,"Masterpiece, high score, great score, absurdres, somechibi, chibi, 1girl, asian, solo, blonde hair, hair bun, , double bun, yellow eyes, fangs, open mouth, teeth, school uniform, smile, hand on own face, holding, looking at viewer, serafuku, sailor collar, blunt bangs,long sleeves, cardigan, messy hair, weapon, blue sailor collar, yellow cardigan, crazy smile, hand on own cheek, slit pupils, collarbone, holding weapon, skirt,full body, narrowed eyes, bags under eyes, night, dark,depth of field, chromatic aberration, faux traditional media, painterly, drop shadow, multicolored background, warm color, colorful, impressionism, photo background,"
62,"cowboy shot,1girl, solo, sit, pale, red eyes, happy, dark hair, witch, white outfit, white witch hat, gothic, cute, miasma, steam,outdoor, castle, night,masterpiece, best quality, high score, great score, good score, absurdres"
63,"masterpiece, best quality, great score, highres, intricate details, 4k, stunning, absurdres, 1 woman, Ganyu, long hair, teal kimono, floral pattern, dramatic scene, wind blowing, hair flowing through hair, sakura petals, beautiful scene, blush, shy smile, sitting, hugging own legs, head resting on knees, headtilt, looking at viewer, from side, dutch angel, closeup, plain background"
64,"1girl, black red, black t-shirt, blue burning aura,"
65,"masterpiece, high score, great score, absurdres, 1girl, samus aran, metroid, cave, inside cave, lava, aura, plants, metroid, life forms, gun, (holding gun), running, (motion blur), depth of field, year 2025, long hair, ponytail, blonde hair, blue eyes, mole under mouth, large breasts, bodysuit, dutch angle, looking at viewer"
66,"1girl, (hassan of serenity \(fate\)), fate \(series\), ((wearing virgin killer sweater, beret) and (eavesdropping)), (american mcgee), dark-skinned female, petite, casual outfit, purple eyes, purple hair, short hair, sidelocks,  chiaroscuro, detailed,  high score, great score, masterpiece, best quality,"
67,"1girl, suigintou, rozen maiden, outdoors, park, sunlight, tree, looking back, masterpiece, high score, great score, absurdres"
68,"masterpiece, high score, great score, absurdres, hires textures, high detail, la+ darknesss, 1 animal, sheep, (a sheep that has girl face:1.2), no human, full body"
69,"masterpiece, best quality, great score, highres, intricate details, 4k, stunning, absurdres very cute, cute details, 1girl, solo, Ganyu, horns, black cat costume, cat paws, blush, open mouth, annoyed, forced pose, cat pose, wariza sitting, closeup, from above, looking at viewer, bedroom, cute room, stuffed toys"
70,"masterpiece, best quality, great score, highres, intricate details, 4k, stunning, absurdres, 1 woman, 1girl, Ganyu, solo, looking at viewer, facing viewer, incoming food, blush, smile, table, spoon, holding spoon, film grain, food, fork, green sweater, cake, medium hair, off shoulder, off-shoulder sweater, cake, coffee, fantasy cafe, sweater, table, hand up, blissful, in a medieval fantasy open cafe, beautiful background, front view, closeup, cute-headilt"
71,"masterpiece, high score, great score, absurdres, year 2025, safe, 1boy, zuppu11 type 2, furry, cute, kemono"
72,"masterpiece, cute boy Kagamine Len, normal build, yellow hair, location: Japanese room, playing with brown tabby cat"
73,"masterpiece, high score, great score, absurdres, 1girl, green hair, orange eyes, Persona, Dutch angle, depth of field, impressionism"
74,"score_9 girl with cheeks full of fruit loops, breafast table, milk pouring out,smile, happy, eating, full cheeks, cute, pixel art style"
75,"masterpiece, best quality, great score, highres, intricate details, 4k, stunning, absurdres,, 1girl, solo, Ganyu, horns, gothic dress, gothic noble woman dress, maroon dress, laces, frills, elegant, tailored fit dress, expensive dress, head resting on hand, uninterested look, bored, dominant female feet, soles, feet focus, from below, sitting on long sofa, gothic room"
76,"Kureiji_Ollie, kureiji ollie,1girl, street, snowy, double bun, (white dress 1.5), bare shoulders, jewelry, earrings, (white fur trim dress 1.5), (white long gloves 1.4), necklace, lips, pearl necklace ,wearing edgwdc, fumichin, hair bow, red bow, hair bow, zombie, patchwork skin, heterochromia, red eyes, yellow eyes"
77,"1 girl, solo, full body, Ruirui, red bowknot on hair, dark maroon hair, medium hair, high ponytail, wide collar, white shirt, white long sleeves, (red overall:0.7), minipants, long kneesocks, bubble socks, brown shoes, standing on one foot, classroom, masterpiece, high score, great score, absurdres, detailed background"
78,"masterpiece, high score, great score,girl,grea \(shingeki no bahamut\),upper body,ocean, sunrise,holding sign,with handwritten english text that says:I LOVE YOU!"
79,"masterpiece, best quality, high score, absurdres, 1990s \(style\), anime screencap, 1boy, solo, tuxedo kamen \(cosplay\), five finger, hand focus, james \(pokemon\), pokemon \(anime\), team rocket, blue hair, looking at viewer, white mask, mask, domino mask, full body, black top hat, holding rose, blue eyes, team rocket uniform, black cape, full body, hand on head,"
80,"masterpiece, best quality, high score, great score, absurdres, 1girl,yelan , genshin impact , red choker, finger to mouth, partially shaded face, head tilt, gesugao, smirk, upper body, dark background, dark"
81,"masterpiece, high score, great score, absurdres, 1girl, souryuu asuka langley, neon genesis evangelion, rebuild of evangelion, lips, detailed beautiful face and eyes, Dramatic ball gown with voluminous tiered layers, fashion pose, (three quarter view:0.6), (from below:0.4), (dutch angle:0),close-up, face focus, wind, floating hair, looking at viewer, [recent:newest:0.6], [cel shading:flat color:0.6], Professional fashion illustration, stylish, beautiful, aesthetic, chromatic aberration, perfect composition, ultra detailed, fine texture, crisp detail, crisp edges,"
82,"masterpiece, high score, absurdres, ruby eyes, basking in the sun, overgrown, sitting on a floor,1girl, sunray, long hair streaked hair, black t-shirt, vine bracelet, sneakers, jeans, against wall, looking up, roots \(hair\),checkered floor, flowerpot, , neon, glowing, neon hair, from front, cowboy shot,abandoned, forgotten, eerie, bioluminescence, aestus domus aurea, hands on ankles, big forehead,"
83,"(barasuishou:1.1)\(rozen maiden\),(masterpiece:1.2),(high score:1.2),general,rozen maiden,doll,[:anime style:0.5],solo,(violet eye patch:1.1),milky hair,flat chest,(yellow eye:1.1),classic dress,white background,(dark theme:0.7),cowboy shot,look up hand up,upper body,(sad:0.5) (smile:0.7) (tears:0.9),(chibi:0.5)"
84,"masterpiece, best quality, great score, highres, intricate details, 4k, stunning, absurdres, 1 woman, medieval knight, very long white hair, hair intake, sidelocks, long braid, blush, sweet smile, happy face, drinking tea, blissful, in a medieval fantasy open cafe, beautiful background, front view, closeup, cute-headilt"
85,"upper body, masterpiece, high score, great score, absurdres, 1girl, traditional, traditional Chinese Building background, hanfu, blue and white dress with Chinese symbol pattern, cute smile, hair decor, beautiful, dynamic, highly detailed, clear, bloom, floating particles, depth, ink, happy, Chinese ink background, Chinese background, Chinese Ink, long hair, flower, ambient, glowing, elegant, complex, ink splash, ink art, Calligraphy, maobi, open mouth smile, iconic, fine detail, cinematic, rich deep colors, amazing intricate, cool, elite, illuminated, light, magnificent, perfect, very coherent, symmetry, composition, color, best, atmosphere, gorgeous, crisp, pretty, infinite"
86,"anime style, A beautiful petite woman in her 20s with long rainbow hair, in a glossy shiny black latex bodysuit, long sleeves, black rubber gloves, tight corset, buckles, corset buckles, HW_Corset, latex body suit, latex catsuit, collar and chain leash, holding the chain, tight black latex pants, nightclub background. crowded night club, stage, dancer, pole, pole danceing, pole dancing, stripper pole"
87,"((masterpiece, best quality, illustration)), novuschroma style, Chinese ink painting, colorful, ink art, 1girl, solo, long hair, breasts, looking at viewer, bangs, black hair, hair ornament, cleavage, bare shoulders, jewelry, closed mouth, yellow eyes, upper body, earrings, japanese clothes, choker, indoors, kimono, necklace, off shoulder, night, fire, white kimono, hitodama, hair stick, tatami, sliding doors, futon, flame, blue fire"
88,"1girl, solo, frieren, sousou no frieren,1girl, long hair, twintails, parted bangs, earrings, elf, small breasts, smile, closed mouth, upper body, from side, hanbok,artist:abe tsukasa,masterpiece, high score, great score, absurdres,"
89,"1girl, solo, safe, masterpiece, high score, great score, absurdres."
90,"masterpiece, high score, great score, absurdres, anime screenshot, anime coloring,  , 1girl, aragaki ayase, solo, serafuku, blue pleated skirt, red neckerchief, loafers, black socks, double v, looking at viewer, smile, open mouth, standing, full body, outdoors, street, cherry blossoms, petals, depth of field"
91,"masterpiece, very aesthetic, absurdres, newest, cabbage, cjdl, 1girl, green volleyball, volleyball court, serve"
92,"masterpiece, high score, great score, absurdres, 1girl, amane misa, death note"
93,"masterpiece,high score,great score,absurdres,daigo shigeno,daigo shigeno\(fuurin\),1boy,baseball uniform,male focus,helmet,solo,dirty clothes,smile,sportswear,dirty,open mouth,clenched hand,stadium,outdoors,sky,headphones,day,blue sky,belt,hat,looking at viewer,blurry,white pants,blurry background,:d,baseball,arm up,cloud,red belt,pants,long sleeves,shirt,fuurin junior high baseball jersey,clothes writing,red shirt,baseball helmet,,official art,"
94,"masterpiece, best quality, high score, great score, absurdres, 1girl,erza scarlet , red choker, finger to mouth, partially shaded face, head tilt, gesugao, smirk, upper body, dark background, dark"
95,"masterpiece, high score, great score, absurdres, amazing quality, la+ darknesss, hololive, la+ sheepnesss, 1 animal, sheep, (a sheep that has girl face:1.2), no human, happy"
96,"masterpiece, best quality, style of riz, 1girl, anthro, dog ears, white fur, white kimono, closed eyes,"
